index,datetime,symbol,signal,strategy
198,2023-01-14 07:21:39.698252-05:00,CAAP,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
199,2023-01-14 07:21:44.086256-05:00,CAAP,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
200,2023-01-14 07:21:47.828526-05:00,CAAS,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
201,2023-01-14 07:21:51.701732-05:00,CAAS,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
202,2023-01-14 07:21:55.486065-05:00,CAAS,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
203,2023-01-14 07:21:59.654610-05:00,CECO,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
204,2023-01-14 07:22:04.202860-05:00,CECO,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
205,2023-01-14 07:22:08.027048-05:00,CECO,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
206,2023-01-14 07:22:11.832268-05:00,CEG,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
207,2023-01-14 07:22:15.709375-05:00,CEG,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
208,2023-01-14 07:22:19.498556-05:00,CEG,SELL,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
209,2023-01-14 07:22:23.387128-05:00,CEIX,SELL,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
210,2023-01-14 07:22:27.353981-05:00,CEIX,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
211,2023-01-14 07:22:31.148679-05:00,CEIX,SELL,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
212,2023-01-14 07:22:35.169597-05:00,CEPU,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
213,2023-01-14 07:22:39.137522-05:00,CEPU,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
214,2023-01-14 07:22:43.076310-05:00,CEPU,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
215,2023-01-14 07:22:46.918160-05:00,CMPX,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
216,2023-01-14 07:22:50.621366-05:00,CMPX,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
217,2023-01-14 07:22:54.998645-05:00,CMPX,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
218,2023-01-14 07:22:58.980305-05:00,CNCE,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
219,2023-01-14 07:23:03.560408-05:00,CNCE,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
220,2023-01-14 07:23:07.526501-05:00,CNCE,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
221,2023-01-14 07:23:11.391964-05:00,COLL,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
222,2023-01-14 07:23:15.990149-05:00,COLL,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
223,2023-01-14 07:23:19.913268-05:00,COLL,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
224,2023-01-14 07:23:24.305694-05:00,CPI,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
225,2023-01-14 07:23:28.292799-05:00,CPI,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
226,2023-01-14 07:23:33.063963-05:00,CPI,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
227,2023-01-14 07:23:37.183266-05:00,CPRX,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
228,2023-01-14 07:23:41.185017-05:00,CPRX,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
